domain,x,y,z,r,phi_rad,u_pred,v_pred,w_pred,p_pred,T_pred,case_id,Th_in_K,Tc_in_K,uh_in_mps,uc_in_mps
hot_fluid,0.0032614446,0.0025025946,-0.205,0.004110961,0.6544985,0.016519498,0.025833126,-0.42631212,0.0,299.65628,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0035227628,0.002703111,-0.205,0.0044403453,0.65449846,0.014739764,-0.042354666,-0.31123248,0.0,299.43155,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0037659921,0.0028897475,-0.205,0.0047469293,0.65449846,-0.012901853,0.0015645385,-0.27528998,0.0,299.42853,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0039944374,0.0030650399,-0.205,0.0050348784,0.6544985,-0.036176946,0.013435859,-0.27721572,0.0,299.44247,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004210507,0.0032308358,-0.205,0.005307228,0.65449846,-0.041792963,0.018262094,-0.23214357,0.0,299.81143,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004416017,0.0033885292,-0.205,0.0055662673,0.6544985,-0.019557908,0.034164965,-0.18196954,0.0,299.8025,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0046123792,0.0035392032,-0.205,0.005813777,0.65449846,0.0012054975,0.017461542,-0.1343368,0.0,300.19125,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0048007164,0.0036837193,-0.205,0.0060511706,0.65449846,0.011183349,-0.0035829835,-0.08378401,0.0,299.63538,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004981939,0.0038227765,-0.205,0.006279597,0.65449846,0.0063513904,0.0014621364,-0.04037287,0.0,299.8988,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.005156797,0.0039569493,-0.205,0.0065,0.65449846,0.0,0.0,-0.0,0.0,300.2356,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0011867322,0.0011867322,-0.205,0.0016782928,0.7853982,-0.045830376,0.018100776,-0.6176406,0.0,299.59143,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0016782929,0.0016782929,-0.205,0.0023734644,0.7853982,0.009727977,0.037698064,-0.45846346,0.0,299.75894,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0020554806,0.0020554806,-0.205,0.0029068885,0.7853982,0.030558383,0.014530386,-0.4960005,0.0,299.69434,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0023734644,0.0023734644,-0.205,0.0033565855,0.7853982,0.04127221,0.07198735,-0.46664834,0.0,299.9088,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0026536137,0.0026536137,-0.205,0.0037527764,0.7853982,0.03211061,0.06415536,-0.42165515,0.0,300.35553,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0029068885,0.0029068885,-0.205,0.004110961,0.7853982,-0.033203006,0.047399897,-0.4269102,0.0,300.1565,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0031397983,0.0031397983,-0.205,0.0044403453,0.7853982,-0.04024079,0.006795769,-0.28997847,0.0,300.29407,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0033565857,0.0033565857,-0.205,0.004746929,0.7853982,-0.034894887,0.03120834,-0.3123905,0.0,300.47733,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0035601966,0.0035601966,-0.205,0.0050348784,0.7853982,-0.029071784,-0.0063379128,-0.24213867,0.0,300.22144,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0037527771,0.0037527771,-0.205,0.0053072283,0.7853982,-0.022091344,0.007081499,-0.18550514,0.0,299.8145,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0039359457,0.0039359457,-0.205,0.0055662678,0.7853982,-0.007809798,0.015009229,-0.16092002,0.0,299.35764,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004110961,0.004110961,-0.205,0.005813777,0.7853982,0.008146918,0.0069877193,-0.12353398,0.0,299.4464,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0042788237,0.0042788237,-0.205,0.0060511706,0.7853982,0.004323194,-0.006750632,-0.083215944,0.0,299.91263,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.004440346,0.004440346,-0.205,0.006279597,0.7853982,-0.002954908,-0.0021002004,-0.041711714,0.0,299.4874,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0045961943,0.0045961943,-0.205,0.0065,0.7853982,-0.0,0.0,-0.0,0.0,300.03647,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0,0.0,-0.205,0.0,0.0,0.066135794,-0.01847345,-0.52988017,0.0,300.15277,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0010216798,0.0013314792,-0.205,0.0016782928,0.9162979,-0.07070662,0.0071435208,-0.6410382,0.0,300.13745,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0014448737,0.0018829961,-0.205,0.0023734646,0.91629785,-0.031323854,0.051304895,-0.50708544,0.0,299.6992,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0017696016,0.0023061896,-0.205,0.0029068885,0.91629785,-0.047679882,0.009775008,-0.5073132,0.0,300.28998,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0020433597,0.0026629583,-0.205,0.0033565855,0.9162979,-0.04505717,0.036134567,-0.44388446,0.0,300.4975,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0022845457,0.0029772779,-0.205,0.0037527767,0.91629785,-0.041094005,0.05618852,-0.46160907,0.0,300.2266,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.0025025946,0.0032614446,-0.205,0.004110961,0.91629785,-0.030968433,0.054068297,-0.37999615,0.0,299.4912,case_016,311.0,283.5,0.6,1.4
hot_fluid,0.002703111,0.0035227628,-0.205,0.0044403453,0.91629785,0.009569279,0.052847203,-0.3250581,0.0,299.9291,case_016,311.0,283.5,0.6,1.4
